home_name,link_name,type
Intel,IBM,investment
Intel,eBay,customer
Qualcomm,MGM,customer
Vodafone,IBM,competitor
Vodafone,Pinterest,competitor
Vodafone,Trimble,investment
Vodafone,Best Buy,partnership
Vodafone,Dell,partnership
Akamai,Vodafone,customer
IBM,Intel,partnership
Synopsys,IBM,investment
Facebook,Motorola,partnership
IBM,Airbus,partnership
IBM,Vodafone,partnership
Microsoft,Tesco,customer
Microsoft,Viacom,partnership
Microsoft,Viacom,investment
Microsoft,MGM,investment
Microsoft,Tesco,investment
Google,Dell,partnership
Google,Uber,investment
eBay,Google,competitor
eBay,Facebook,customer
eBay,Adobe,partnership
eBay,Adobe,customer
Google,Telstra,customer
Autodesk,Cisco,customer
Ball Corporation,ConAgra Foods,partnership
