employees,altman_score,piotroski_score,Decarbonization Target_Target Year,Decarbonization Target_Comprehensiveness,Decarbonization Target_Ambition p.a.,Temperature Goal,esg,environmental_metric,social_metric,governance_metric,involvement_metric
12177,0.85,6,2050,100.0,-3.57,3.3,26.1,5.01,10.030000000000001,2.34,0.04
5000,4.14,5,2050,100.0,-3.57,2.0,33.0,5.01,10.19,2.01,2.02
5065,0.61,5,2050,2.19,1.05,1.4,20.4,4.01,10.86,2.01,0.04
45000,7.96,8,2030,2.8,0.83,2.0,23.1,4.51,8.04,2.01,0.04
124800,1.85,6,2040,5.61,0.72,2.7,17.5,5.01,8.7,2.01,0.04
64088,4.11,7,2030,3.66,0.85,3.4,29.5,4.51,7.54,1.51,0.04
1600,-0.06,5,2050,0.12,1.14,2.8,21.7,4.01,9.04,1.51,0.04
6500,15.06,6,2025,2.33,0.63,2.1,17.2,4.01,10.04,2.01,0.04
4667,1.48,6,2050,9.35,0.72,2.8,27.7,4.84,8.54,1.51,0.04
20655,1.44,4,2050,100.0,-3.57,1.8,30.7,4.51,9.7,2.01,0.04
126756,1.97,8,2040,100.0,-5.26,1.5,38.1,4.51,8.7,1.84,0.04
12847,3.21,5,2070,100.0,-2.04,2.1,49.4,5.01,8.54,2.01,0.04
103000,2.42,8,2050,100.0,-3.57,2.1,33.7,5.67,11.52,2.34,2.02
331000,1.9,6,2030,6.17,0.89,2.0,15.9,4.01,10.530000000000001,2.34,2.02
14375,0.68,6,2045,100.0,-4.35,1.3,24.8,4.01,10.690000000000001,1.84,0.04
124800,1.85,6,2040,5.61,0.72,2.7,17.5,5.01,8.7,2.01,0.04
733000,7.43,7,2035,100.0,-7.69,1.3,9.8,4.01,10.69,2.01,0.04
50000,5.7,7,2040,2.64,0.91,3.2,21.2,4.01,9.04,2.01,0.04
15001,0.82,6,2035,39.24,-2.37,1.8,26.0,5.01,10.86,2.01,0.04
45000,7.96,8,2030,2.8,0.83,2.0,23.1,4.51,8.04,2.01,0.04
3258,0.95,5,2035,21.72,-0.66,3.6,19.8,5.01,8.7,2.01,0.04
20000,4.09,5,2030,100.0,-4.87,3.0,27.6,4.51,8.21,2.01,0.04
13800,2.66,7,2050,100.0,-3.57,1.7,27.1,4.51,8.54,2.01,0.04
17000,1.74,6,2025,100.0,-22.52,1.4,14.3,5.01,9.54,2.01,0.04
103000,2.42,8,2050,100.0,-3.57,2.1,33.7,5.67,11.52,2.34,2.02
